Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United Kingdom,GBR,"Population of the official age for secondary education, both sexes (number)",5281251,5371033,5428790,5459665,5466397,5450755,5474232,5477854,5464484,5434493,5385484
United Kingdom,GBR,"Population of the official age for secondary education, female (number)",2580514,2621106,2645591,2656926,2657262,2648123,2668074,2677290,2675829,2663199,2638065
United Kingdom,GBR,"Population of the official age for secondary education, male (number)",2700737,2749927,2783199,2802739,2809135,2802632,2806158,2800564,2788655,2771294,2747419
United Kingdom,GBR,"Population of the official age for tertiary education, both sexes (number)",3485742,3579271,3684921,3785901,3877123,3951026,4028533,4095885,4153190,4197265,4225219
United Kingdom,GBR,"Population of the official age for tertiary education, female (number)",1730684,1771079,1817199,1861146,1900267,1930730,1969999,2004477,2034937,2060122,2079167
United Kingdom,GBR,"Population of the official age for tertiary education, male (number)",1755058,1808192,1867722,1924755,1976856,2020296,2058534,2091408,2118253,2137143,2146052
United Kingdom,GBR,Population growth (annual %),0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781677289
Spain,ESP,"Population of the official age for secondary education, both sexes (number)",2847214,2776477,2719937,2674847,2644654,2629714,2621290,2608463,2588814,2560624,2525829
Spain,ESP,"Population of the official age for secondary education, female (number)",1381294,1347284,1320000,1298216,1283776,1277042,1273218,1266914,1257272,1243946,1228149
Spain,ESP,"Population of the official age for secondary education, male (number)",1465920,1429193,1399937,1376631,1360878,1352672,1348072,1341549,1331542,1316678,1297680
Spain,ESP,"Population of the official age for tertiary education, both sexes (number)",3062531,2971069,2872113,2778176,2688434,2604760,2550048,2496864,2442525,2388415,2338119
Spain,ESP,"Population of the official age for tertiary education, female (number)",1489870,1444683,1396227,1350454,1306758,1265829,1238629,1212286,1185826,1160061,1136732
Spain,ESP,"Population of the official age for tertiary education, male (number)",1572661,1526386,1475886,1427722,1381676,1338931,1311419,1284578,1256699,1228354,1201387
Spain,ESP,Population growth (annual %),0.694068084,1.412595405,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396